Company,Reviewer Verification Status,Rating,Approximate Date of Review,Sentiment,NPS,Topic 1,Topic 2,Topic 3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,book,appointment,quote,new,central,heating,boiler,fit,due,date,receive,email,confirm,could,expect,heat,adviser,arrive,appointment,wife,put,visit,close,friend,child,want,visit,end,school,halter,holiday,come,sign,contact,baby,enough,call,find,go,whilst,impolite,person,speak,particularly,helpful,suggest,engineer,could,hold,traffic,ask,could,phone,let,know,would,delay,reply,driver,allow,make,call,whilst,drive,obvious,response,perhaps,stop,put,brake,turn,ignition,call,call,end,say,would,cancel,visit,altogether,look,another,installer,decide,call,customer,complaint,number,explain,situation,much
British Gas,Not Verified,1,2017-12-01,Negative,,,,,use,wrong,address,electricity,beginning,contract,take,month,put,right,seem,use,actual,meter,reading,electricity,keep,track,payment,end,contract,send,bill,overcharge,electricity,amend,dispute,explanation,happen,use,date,take,old,supplier,final,payment,still,excessive,clearly,wrong,give,day,let,access,info,online,account,hour,spend,phone,keep,go,thing,confidence,use,right,information,charge,correct,never,use,care,overcharge,right,ceo,look,comment,site,hang,head,shame,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,non,attendance,agree,time,slot,another,day,installation,cancel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,call,self,top,customer,service,provider,supply,well,central,heating,service,well,cancel,central,heating,cover,year,come,repair,boiler,pipe,work,turn,around,policy,cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,far,far,expensive,use,winter,afford,wear,multiple,layer,jumper,worry,immensely,bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,customer,share,holder,centrica,fid,totally,unacceptable,look,thing,hello,curtis,thank,touch,well,back,next,three,working,day,reference,number,confirm,ask,would,much,appreciate,information,regard,dual,payment,august,balance,record,credit,electricity,credit,see,ever,reason,recording,credit,electricity,credit,please,explain,june,electricity,charge,september,electricity,charge,since,smart,meter,fit,check,daily,usage,rare,day,excess,usage,fuel,anything,else,need,talk,let,know,thank,claire,mile,manage,director,customer,operation,one,back,mere,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,bunch,clown,definitely,wrong,profession,circus,need,big,bunch,idiot,find,difficult,locate,one,organisation,find,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,pay,bill,take,money,twice,block,refund,twice,time,without,tell,huge,amount,money,call,speak,manager,tonight,tell,record,call,feed,tell,lie,money,account,morning,answer,agree,hang,go,ombudsman,bank,move,customer,service,awful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,non,existent,customer,service,even,escalate,manager,still,await,time,promise,return,telephone,call,week,pleased,leave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,book,meter,change,still,wait,call,back,dispatch,team,claire,mile,manage,director,depth,scant,regard,customer,base,endure,exorbitant,price,together,poor,service,join,never,end,line,dissatisfied,roger,levy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,move,new,property,charge,lot,meter,reading,read,threaten,legal,action,pay,finish,phone,call,customer,service,lady,say,cancel,complaint,tell,pay,amount,nice,phone,call,anyone,experience,keep,well,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,3,2017-12-01,Positive,,,,,peace,mind,interest,free,loan,service,plan,year,reputable,engineer,side,expensive,limited,choice,boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,homemade,year,last,saturday,realise,central,heating,come,husband,phone,ask,engineer,say,think,thermostat,bored,sound,call,centre,person,tell,nobody,could,come,wednesday,morning,think,excessive,pay,every,month,email,tell,husband,year,old,hope,could,come,quick,wednesday,reply,email,automate,email,say,would,touch,within,hour,notthe,engineer,call,morning,wednesday,surprised,call,soon,quick,efficient,husband,right,thermostat,look,take,business,elsewhere,let,past,engineer,come,usually,great,maybe,rid,call,centre,staff,provide,people,actually,help,public,organize,thing,properly,,,,,
British Gas,Not Verified,5,2017-12-01,Positive,,,,,want,quote,homemade,cover,boiler,plumbing,drain,rent,property,initially,apply,online,finish,application,run,time,subsequently,phone,say,notice,finish,application,could,help,obviously,keen,custom,unlike,bother,phone,back,end,excellent,policy,suit,need,perfectly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,customer,yet,set,direct,debit,bank,account,take,money,account,call,hang,phone,email,tell,would,nothing,without,account,number,customer,persist,tell,nothing,wrong,set,direct,debit,verify,correct,seriously,fraudulently,take,money,bank,account,sorry,helpful,absolutely,nothing,assist,watch,bank,account,could,happen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,worst,incompetent,service,ever,see,avoid,cost,sign,give,meter,serial,number,account,open,neighbor,meter,assign,anyway,neighbor,change,supplier,somehow,screw,account,fix,create,another,electricity,account,flat,two,account,know,meter,reading,wrong,one,give,keep,reject,billing,arbitrary,meter,reading,meter,inspector,reject,well,bill,completely,arbitrary,lose,hope,mess,fix,decide,leave,finally,meter,reading,accept,bill,correctly,use,final,bill,bill,arbitrary,excessive,amount,electricity,meter,reading,still,wrong,pay,whoop,second,electricity,account,open,property,see,want,settle,double,bill,contact,debt,collector,without
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,estimate,bill,produce,know,wrong,boiler,break,move,new,house,move,supplier,hear,dire,thing,customer,service,happy,pay,accurate,bill,wait,make,numerous,call,sort,tell,would,stop,call,letter,accurate,bill,produce,next,thing,debt,collection,agency,call,aggro,affect,credit,rating,overseas,call,center,girl,say,rule,rule,rule,wrong,listen,reason,care,pay,bill,extra,pound,charge,trouble,ask,girl,think,would,ever,switch,back,say,right,say,ask,would,back,complaint,say,complaint,close,want,close,say,close,say,lie,numerous,phone,call,complaint,process,joke
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,horrendous,experience,switch,electricity,account,april,pay,three,month,direct,debit,totalling,jug,discover,take,neighbour,metre,error,pay,previous,electricity,supplier,three,month,call,july,time,email,time,resolution,sight,receive,letter,state,account,balance,amount,error,one,account,stagger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,appalling,customer,service,spend,hour,email,phone,meter,use,pay,stand,charge,nowhere,return,phone,call,promise,distinct,could,care,less,attitude,go,three,month,avoid,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,bad,experience,company,shock,live,bedroom,apartment,place,use,office,reading,year,manage,send,bill,month,next,minute,complain,change,bill,ask,provide,detail,number,estimate,run,factory,response,company,shock,couple,month,another,different,number,week,back,speak,guy,phone,ask,final,bill,ask,last,final,bill,last,number,come,say,yes,morning,receive,another,one,company,mess,try,money,random,different,number,every,month,someone,need,check,company,make,sure,try,anyone,else,phone,conversation,another,mess,speak,different,people,one,know,actually,go,good,think,mostly,come,completely
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,absolute,chaos,company,change,connect,neighbour,meter,mistake,eventually,sort,manage,account,fine,month,suddenly,invent,duplicate,account,number,start,write,occupier,address,two,account,open,complaint,still,look,idea,actually,owe,pay,anything,meanwhile,getting,increasingly,threaten,letter,even,refer,one,account,credit,control,agency,whenever,call,say,put,complaint,team,look,team,take,incoming,telephone,call,send,email,ask,team,call,never,call,really,could,make,terrible,beyond,belief,never,never,never,move,appalling,go,straight,back,ever,matter,sort,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,move,new,house,nothing,trouble,owe,hundred,pound,take,week,receive,money,send,bill,july,pay,another,day,later,pay,letter,today,credit,switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,awful,company,engineer,damage,property,still,response,effort,communicate,apology,never,call,back,literally,bad,customer,service,ever,experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,scandalous,scare,pay,money,move,property,contract,essentially,try,bribe,take,complaint,ombudsman,everyone,boycott,firm,rely,operation,total,impunity,obviously,claw,money,vulnerable,society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,2,2017-12-01,Negative,,,,,constantly,mess,try,contact,appalling,response,time,state,day,first,bill,request,bill,mess,recently,send,reminder,invoice,never,receive,never,work,email,receive,acknowledgement,say,hear,back,day,day,later,nothing,promise,response,time,stick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,appalling,customer,service,try,meter,number,add,national,database,switch,web,chat,email,telephone,call,still,complete,week,despite,lie,tell,complete,suggest,take,week,add,number,database,laughable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,harass,month,bill,property,move,despite,speak,explain,apology,receive,letter,phone,call,without,knowledge,prior,phone,call,outrageous,speak,today,explain,situation,time,lady,extremely,rude,apologetic,say,send,final,bill,credit,move,completely,incompetent,polite,think,mess,affect,people,credit,rating,disgraceful,never,use,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,thief,organisation,effective,private,company,monopoly,oppose,state,monopoly,year,ago,blatant,profiteering,vulnerable,customer,ie,elderly,equip,use,computer,poor,precarious,financial,situation,say,government,green,policy,joke,surely,believe,may,try,pick,pocket,claw,back,billion,drop,profit,last,year,safe,knowledge,help,poor,shareholder,tragedy,new,mercs,year,awww,government,weak,fix,fail,private,market,capitalism,without,conscience,destroy,belief,free,market,switching,easy,switch,martin,lewis,help,struggle,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,5,2017-12-01,Neutral,,0.05467741840389307,0.8917475262676482,0.05357505532845887,engineer,extremely,knowledgeable,fix,boiler,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,5,2017-12-01,Neutral,,,,,exactly,say,would,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,ridiculous,scamme,try,help,two,family,member,short,tell,pay,go,ow,ow,look,help,poor,customer,service,would,advise,stay,well,clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,inefficient,customer,service,error,prone,website,ill,informed,threaten,professional,never,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,recommendation,trust,bunch,cowboy,hard,earn,cash,well,save,money,would,spend,month,kitty,unexpected,repair,experience,home,care,heating,appal,hot,water,tank,start,leak,quite,badly,april,cause,minor,flood,upon,contact,tell,dino,rod,would,attend,sort,problem,engineer,confirm,need,tank,replace,week,later,bear,mind,push,without,hot,water,time,pay,per,year,service,expect,certain,level,commitment,customer,care,say,another,engineer,come,replace,tank,slightly,concern,fact,seem,spend,lot,time,phone,eventually,finish,inform,shower,pump,leak,nothing,wrong,prior,fitting,new,tank
British Gas,Not Verified,1,2017-12-01,Negative,,,,,wait,week,meter,fit,lovely,engineer,visit,every,excuse,sun,give,begin,could,find,house,house,postcode,neat,little,row,since,wrong,meter,send,wrong,pressure,wrong,fitting,today,excuse,leak,wrong,fitting,make,feel,fault,inform,news,customer,would,like,go,elsewhere,tell,take,day,switch,stay,well,away,company,still,meter,constant,excuse,phone,call,sick,death,hear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,echo,negative,moment,company,avoid,cost,instal,boiler,plus,shower,pump,property,break,twice,first,month,send,engineer,agree,faulty,stock,never,hear,ignore,mine,partner,call,email,voicemail,complaint,hotline,nothing,promise,call,back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,still,fridge,freezer,month,several,cancel,appointment,try,new,one,put,even,easy,go,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,fit,central,heating,boiler,outset,look,disaster,three,year,later,seem,fitter,leave,essential,flue,gasket,allow,carbon,monoxide,leak,kitchen,compensate,rot,boiler,combustion,box,new,boiler,need,installation,manager,suggest,solution,manufacturer,passage,say,unsafe,area,manager,fully,support,action,clearly,culture,put,profit,ahead,safety,would,accept,responsibility,refuse,even,communicate,initial,complaint,contact,retail,ombudsman,contact,force,make,reparation,forget,sweet,little,penguin,simply,leave,alone,use,set,maximum,budget,use,locally,recommend,passage,register,installer,ask,see,passage,badge,rear,tell,qualified,fit,type,device,want
British Gas,Verified Reviewer,5,2017-12-01,Positive,,,,,customer,service,really,good,complain,use,utility,service,cover,breakdown,etc,year,always,good,job,home,security,really,good,even,dino,rod,come,deal,weeping,stop,tap,leak,could,repair,policy,still,tighten,washer,reliable,trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,5,2017-12-01,Positive,,,,,customer,service,exceptional,patient,help,order,contact,sale,representative,several,time,confirm,order,assistant,mark,william,new,business,sale,executive,business,patient,helpful,deal,question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,rent,domestic,flat,around,month,ago,appliance,supply,disconnect,company,rent,even,buy,place,sign,account,need,one,send,bill,stand,charge,disconnected,meter,building,basement,previous,landlord,flat,rent,building,caretaker,close,business,account,name,add,account,without,knowledge,agreement,take,week,sort,mess,every,time,deal,different,person,tell,something,different,business,customer,service,officer,register,complaint,useless,provide,incorrect,information,want,pay,upin,view,iffy,accounting,system,office,staff,appear,know,naturally,large,utility,supplier,automatically,assume,customer,wrong,never,use,service,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,middle,nearly,one,million,kow,discrepancy,meter,reading,send,detail,picture,feel,sort,want,detail,already,give,look,give,rae,uncertainty,customer,nerve,still,wait,anxiously,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,abysmal,customer,service,charge,take,email,ceo,admission,even,would,charge,correctly,tariff,end,generate,correct,bill,system,uncaring,obstructive,dealing,wish,could,give,zero,star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,never,use,company,fail,update,record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,charge,final,bill,spend,week,try,sort,think,deliberately,obstructive,customer,service,organisation,try,wear,give,eventually,go,ombudsman,tell,apologise,pay,compensation,whole,experience,time,consume,unpleasant,would,never,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,sign,spite,cheap,business,benefit,package,promise,spite,spend,hour,phone,unable,sign,pass,one,department,another,total,waste,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,crap,company,crap,engineer,engineer,visit,problem,radiator,still,resolve,boil,hot,radiator,middle,june,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,beware,online,price,checker,rip,believe,price,check,tool,advice,customer,month,tariff,come,end,switch,collective,fix,february,tariff,home,freebie,sit,tariff,early,use,tariff,check,tool,advise,end,pay,around,year,switch,home,freebie,sit,happy,day,understand,estimate,final,bill,depend,usage,usage,end,pay,year,however,bill,become,significantly,high,advertise,tariff,check,tool,example,jan,old,tariff,use,ow,march,new,tariff,use,ow,difference,astonishing,see,use,one,third,less,end,pay,work,year,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,engineer,come,annual,boiler,check,tick,check,sign,boiler,filter,start,leak,another,engineer,look,actually,know,say,first,engineer,check,impossible,check,locked,seize,would,budge,rip,job,correct,see,though,relate,serious,matter,fork,new,filter,instal,stop,leak,hour,fit,absolute,joke,want,leak,guy,come,sure,try,could,move,leave,slightly,open,leak,come,sign,damage,clipboard,floor,boiler,clipboard,well,water,say,really,either,way,damage,even,check,sign,check,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,would,could,take,payment,online,payment,keep,refuse,credit,card,would,authorize,even,though,work,fine,everywhere,else,communicate,try,pay,bill,time,past,month,site,stop,suggest,say,nothing,value,email,say,would,wait,til,fix,site,week,later,receive,letter,collection,agency,debt,collection,call,arvato,nightmare,number,two,answer,phone,answer,two,email,send,try,pay,either,two,complaint,procedure,go,agent,call,back,request,position,continually,try,good,pay,stupid,bill,dozen,time,everywhere,go,fail,ignore,seem,though,ploy,put,debt,charge,extra,cost,mistake,communication
British Gas,Not Verified,5,2017-12-01,Positive,,,,,near,policy,renewal,helpful,assistant,waive,cancellation,fee,call,centre,super,quick,respond,polite,wonderful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,put,wrong,address,set,account,tell,many,time,change,call,engineer,problem,boiler,send,wrong,address,book,appointment,customer,service,team,take,security,really,care,job,give,home,address,pick,another,address,account,could,resolve,call,reboot,morning,surprise,surprise,one,show,cancel,policy,morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,everything,rubbish,service,take,day,last,month,engineer,turn,people,phone,idea,go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Not Verified,1,2017-12-01,Negative,,,,,customer,care,good,user,interface,attractive,page,package,customer,service,till,buy,service,give,false,promise,example,inspect,hob,boiler,fix,appointment,turn,sit,like,fool,whole,day,waste,holiday,earning,really,cereal,case,emergency,like,tap,leak,etc,promise,fail,turn,lot,customer,huge,profit,enough,resource,even,someone,turn,rude,job,free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,charge,substantial,amount,final,electric,bill,say,estimate,bill,although,always,send,accurate,reading,new,supplier,also,send,reading,charge,account,two,occasion,within,week,without,bill,send,let,kno,rip,could,go,credit,history,debt,bank,money,account,say,send,ask,copy,coincidence,let,send,another,copy,ye,righ,even,supply,meter,reading,refuse,resolve,tell,pass,expert,clue,end,result,want,contact,new,supplier,send,meter,reading,give,also,customer,service,disgrace,far,bad,phone,labor,min,say,bottom,cut,call,back,lady,speak,second,time,clue,go,much
British Gas,Verified Reviewer,1,2017-12-01,Negative,,,,,terrible,experience,estimate,final,bill,empty,property,usage,bill,come,hour,phone,finally,admit,make,mistake,try,charge,debt,collection,feel,really,feel,old,vulnerable,deal,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
