Company,Reviewer Verification Status,Date,Rating,Review
British Gas,,Posted 1 week ago,1,"“
I have been recieving an extream bad service from their support as well as their complaint departnment. they were unsupportive and they always hang the call everytime i call them
”"
British Gas,Verified Reviewer,Posted 1 week ago,1,"“
Don’t waste your time. Try another supplier wherever possible.
”"
British Gas,Verified Reviewer,Posted 1 week ago,1,"“
This company is an absolute joke, trying to resolve a complaint is near impossible, spent 6 hours on the phone to them over the last 6 weeks, just been onto then again and they hang up on me, absolutely furious
”"
British Gas,Verified Reviewer,Posted 1 week ago,2,"“
Paid bills in September and October now I have another bill which covers the time frame of August until November now waiting on the phone to speak to someone british gas rip people off and need exposing
”"
British Gas,Verified Reviewer,Posted 1 week ago,1,"“
I cannot count how many occasions I have contacted them, hours of my life for appalling service. No follow up or actions taken. Extremely unhelpful. I waited at home all day for an appointment but the engineer never showed up, I was not notified of a cancellation and waiting until 6pm when I should have been in the office at work. I also waited at home for a phone call booked weeks in advance because that was their only available time to call me and I would need to provide meter readings. They never called me. This was after them refusing to send anybody out to check our incorrect meters for 3 months of me asking. The readings were saying £800 for our energy bills in one month (when we were on holiday), they still refused to send an engineer and insisted it was correct. The woman was rude on the phone (one of the million times that I called). They then threatened me with debt collectors after one British Gas consultant advised me to cancel my direct debit. When they eventually came out to look at the smart meter they agreed it was faulty so changed it. Then the monitor they installed at the time did not work and wasnt showing readings for gas. They did not install a carbon monoxide alarm as was promised (I believe this is a legal requirement and I asked specifically for the man to do it).  I have asked for an email to confirm my complaint but did not receive one (on three occasions). Absolutely the worst service I have ever experienced, cannot stress enough how terrible both their customer service and processes are.
”"
British Gas,,Posted 1 week ago,2,"“
Diabolical customer service, who fail to listen and fully understand your complaint. Make wrongful assumptions and hide behind policy for policies sake.

Appalled by how a long serving customer has been left with damage to my property that they claim to have repaired when they haven’t, have failed to listen to the fact that they haven’t completed the necessary repairs to the property. Have left us with a leaking toilet and holes in ceiling and bathroom while my partner is recovering from cancer.

Avoid this company at all costs, they fail to complete repairs, because they are Ill equipped with poorly trained staff, who keep telling me they can’t complete a repair, but when pushed they suddenly can.

I’ve been paying for a service that is not fit for purpose as they cannot make good on faults when it comes to plumbing, and keep telling me all the reasons why they can’t do such and such, displaying poor and negative attitudes, refusing to escalate when requested and constantly stone walling in the hope you will just go away, 4 months in still no resolve, and I am not going to go away quietly.

If you have this service in place, cancel it now, there are way better companies out there, who believe in assisting their customers when they are in need, rather than looking for every excuse not to fulfil the contract you have with them.
”"
British Gas,Verified Reviewer,Posted 1 week ago,1,"“
Useless! I have been trying to change our electric to a pay monthly account to match our gas for months! They keep saying they need to migrate our account and can only do this Monday-Friday. When I call in the week they pass me from team to team for over an hour and never actually migrate the account. I've tried all forms of modern communication at this point, I might send a carrier pigeon next!!
”"
British Gas,,Posted 1 week ago,1,"“
I concur with every bad review on here about poor customer service. Over 30 yrs as a customer of BG Home Care which has gone completely downhill. Very difficult to speak to a human being, I abhor the automated phone lines, and will not use a chat bot service.  Multiple  engineers out to fix a growing list of problems with central heating and hot water. Two more faults caused by the engineers themselves. No one has an oversight of the problems, happy to pass it on to the next engineer that has to come out.
Very dissatisfied customer here.
”"
British Gas,,Posted 2 weeks ago,1,"“
I keep getting wrong bills all seem to be made up, Bills are getting silly now they say i owr almost £2,000, I used to belong to ebico and never had any trouble was with them for yrs . They left and i was put with bg, I like to pay quarterly but since being with them am having this problem. It feels like they are just guessing an amount
”"
British Gas,Verified Reviewer,Posted 2 weeks ago,1,"“
I've been a B. Gas. homecare customer  for a long time paying by monthly direct debit last year I had water running out the outside overflow pipe and had to wait for two weeks without hot water when the engineer arrived he said this is an easy fix? and I don't think he was at the house more than ten minutes that's how easy it was too fix?
This year end of October beginning of November same thing happened water running out the outside overflow pipe but this time it ended up being a botched fix? 5 visits for a very simple fix doe's this not tell you some engineers need to be retrained?...1st engineer pumped up an expansion vessel then left water was still running out overflow?...2nd engineer fitted a new valve which didn't work ? the same engineer left two drips under the boiler?... 3rd engineer he fixed the water that was running out the overflow pipe so that was now fixed?...4th engineer he came and looked at the underside of the boiler to see where the dripping water was coming from and said I needed two new parts and he would be back on the Thursday he didn't turn up and didn't even have the decency to phone me?...5th visit engineer comes with one part he then goes and looks at the other part under the boiler to see if he could order it
he then said that part is obsolete and it's a waste off time fitting the part he had so I asked him if he could tighten the nut in question which he tried to do but I still had two drips caused by a B.Gas. engineer I'm sure this engineer could have done more to help me but he didn't? So at the moment the boiler is working fine I've managed to fix one drip myself and have got a little pinch more on the other nut the water coming out is bearable? I think if the last engineer loosened the nut and put some ptf tape around it I believe that would have worked going by how much water is coming from it now? I'm over 74 years old and this is how B.Gas. look after the elderly.
          John Reid 17/11/23.
”"
British Gas,,Posted 2 weeks ago,1,"“
They tried to overcharge me by £720 this month!!! 
I'm a careful user of energy, and my bill is always under £30.
The customer ""helpline"" (poorly named as help is far from what they actually provide), resulted in a rude woman shouting that ""they don't make mistakes"" that I should just ""pay it"". I tried to explain that it was obviously an error, and I wasn't going to pay for energy I haven't used, but she kept talking over me and refused to listen to anything I had to say. I'd honestly give this joke of a company zero stars if I could.
”"
British Gas,Verified Reviewer,Posted 2 weeks ago,1,"“
I have a credit balance with British Gas and requested a £1000 refund from an online chat representative on 25 October. I was assured, exact quote: ""I have issued the refund for you amount £1000; you will receive the amount within 5-7 working days in your bank account :)""

I didn't receive it. On 10 November, 12 working days after it was promised, I got another representative. This time I was assured, exact quote: ""as its not received to you I've asked the advisor to kindly get back to you with its status to you as an urgent priority refund query....Sure, you'll receive the email from the advisor in next couple of hours""

I didn't receive the email and contacted chat representatives again several hours later. This time, exact quote: ""As the amount was high this was pending formrefund team for sometime. But i am happy to see that it has been authorized and soonyou will be credited with it'""

I asked for a confirmation email, and received this on 10 October, exact quote: 'This is to confirm that the refund has been issued by the payment team for £1000 on your account which whould be refunded to your bank on or before 14/11/2023 as per the processing time.""

The refund didn't arrive (of course!) so I contacted BG again on 15 November to ask where it was. This is the response, exact quote: ""Tthere is no refund issue from our side I'm really sorry for that.""

And why was there no refund? Exact quote: ""i see your refund is showing cancelled because your bill has not been generated last 28days"". Well -- the reason 28 days have elapsed since the last bill is that BG has failed to pay the refund from 25 October when the request was within the billing period, to 15 November when it wasn't-- all BG's fault!!!

And what willl BG do about it? Exact quote: ""To process the refund the direct debit collection date should not be more than 3 working days and your next direct debit date is on 16.11.23 that is the reason we are unable to process the refund"".

So after all that, I am right back where I started -- worse off, actually, because I have to wait 3 working days from 16 November to even BEGIN the refund ordeal again.

During all this time I have not received even one message from BG telling me my refund is delayed or cancelled.
I've been with BG for over 40 years but I notice that their rival Octopus has MUCH better customer reviews.
”"
British Gas,Verified Reviewer,Posted 2 weeks ago,1,"“
rude incompetent engineer...  'repair' completely bodged and failed the following day ... dreadful 'service' ...  5 hour appointment slots ensure maximum inconvenience for customers
”"
British Gas,,Posted 2 weeks ago,1,"“
Awful, awful, awful. British Gas moved to a new billing platform which disconnected my original account and the new one that they then gave me. Then because I was not occuppying the house, their payments system couldn't cope with the low meter readings I was giving them. The operator at the South African call centre made up a higher reading to get this into the system then I was given a really high bill. I had a hell of a job getting my money back, with complete incompetence at the call centre. I couldn't even get through to a manager. Later when I had sold the property, British Gas continued billing me despite giving a clear final reading and paying the resulting bill, I've no idea how they made up the figures and no one could explain. A nightmare, you have been warned!
”"
British Gas,Verified Reviewer,Posted 2 weeks ago,1,"“
New contract with BG Homecare. Waited a few weeks for a boiler service. Last appointment of the day and at 17.02 was told he was on his way by their technology.

Evidently, as it was the last call of the day, the engineer went home and was a no-show. Apparently, it was my fault as I didn't answer my phone. If only it had rung! If only he'd found me on google maps and come knocking on my door. 

I've now cancelled my BG Homecare policy.

Tomorrow I will move my energy supplier to a company who actually gives a damn.
”"
British Gas,,Posted 2 weeks ago,1,"“
With holding my refund for 4 months and still haven’t received it, constantly being lied to by the people there, they are beyond a joke don’t even bother with them
”"
British Gas,,Posted 2 weeks ago,1,"“
If I could give no stars , I would 
Nearly 1 hr 45 m to pay a bill they sent me stating how much to pay 
They then wanted to charge me another £19 and I have refused to pay it 
I’m sick to the back teeth of how British Gas treat their customers 
I will never use their pathetic phone system and their supply ever again 
I’m now with another company , I’m already paying them and British Gas are still trying to charge me again 
The customer service team don’t want to help, the one I spoke to put me back into the system and I had another 40 min wait for another person to take the payment !!!
Avoid British Gas at all costs
”"
British Gas,,Posted 3 weeks ago,1,"“
If there was a no star option  i  would use it. Absolute pathetic excuse for a company money grabbing good for nothing robbers. Customer service is diabolicle. Line is terrible when  calling  there call centre in Africa i had one agent that yawned 🥱  twice when i was trying  to get mg problem  sorted out they sent me a bill for over a grand  on the 21/2/23 they said it was because i had not done my meter  readings from 2021 to 202s . It took me 7 months to pay this debt off . They sent me a payment card to pay at the post office and agreed a payment plan which i did my meter reading  on the 6th of the month then  i would pay the 10th of the month . Then they started  sending me letters saying i was behind wih my payments then they cancelled my payment card because i was behind with my payments and ended up.withba bigger  bill as apparently  its more  expensive to pay with  a payment  card which i had no idea . I eventually  paid the debt off on the 11/8/23  and fed up payment plans so i just paid the 281.81 pounds i had left to pay so i thought as it went down to 0 as i was elated then  then i did my meter reading on  6 /10/23 and they cancelled my payment card and said  i owe 446.73 what a curveball. I rang them up and got a yawning agent in africa . I regret paying the whole lot off in full which left me quite poor that month then  i moved to octopus  energy on 4/10 /23  then  bg charged me 98.59 and on the 8/11/23 my debit card was declined and they had taken out £687.75 then returned it as not enough  funds . I was livid and rang   them and they  cut me off  after much anger they asked me to do a meter reading  on the 9/ 11/23 and bill went down to  4.87 .  I paid it off but still have 1000 of credit which they deny . Worst company  ever moving to octopus hopefully plain sailing from now on
”"
British Gas,Verified Reviewer,Posted 3 weeks ago,1,"“
It’s the worse company for customer service. These customer agent don’t have a clue about anything. Agents don’t even understand anything. I am well frustrated with British Gas. 
I am trying to explain them issue with my electric metre since 1 year n half . 
Fed up and now I am switching to other supplier. 
Hell with this company who has  this type of customer service, when we paying our bills on time. 
DONT HAVE THESE SUPPLIER NEAR YOUR HOME
”"
British Gas,Verified Reviewer,Posted 3 weeks ago,1,"“
Moved in to a property on 22/08/23. It was supplied by British Gas. I called up to register the account under my name, get the meters zeroed and get gas and electric cards so I could top up. I also needed the gas meter to be on my name and zeroed or in credit before the housing association would uncap the gas meter. I had the engineer booked for the 25/08/23 to uncap the meter.
I waited for 5 hours in a queue to be spoken to. The first call got dropped within 3 minutes to my horror. I call back up and wait a further 1.5 hours at which point a get someone that actually got things going.
The electric meter zeroed instantly. The gas meter I was told that it would be done in 3 hours.
They also told me that I could get the gas card from the shop and I could top up the electric online. I went to the shop to get the card I waited 4 hours, I then follow the directions given to me to pair the card and then wonder off to the shop and put £20 on the card. I come home stick the card in to be greeted by an outstanding balance of +£40 of debt from the previous tenant! I now had to wait until the next day as the call centre was shut and I definitely didn't want to wait in a queue again.
I couldn't get the meter zeroed in time for the gas engineer 2 visit over next 5 days. In this time I switched to Octopus Energy as I knew that I could trust them. I knew my switch date was 4/09/23 so I booked the Gas engineer to uncap my gas meter for 6/09/23. I contacted British Gas to tell them I was switching they advised me to top up as the funds would be transferred to my new supplier so I stupidly top up another £20 on gas and £20 on electricity. So when I switched over Octopus Energy, they highlighted that British Gas had told them that I had used gas and they knew from the previous calls that I had with them that it was capped as I had already explained about the capped meter issue and gas safety certificate. When I saw my final bill I knew that British Gas was robbing me. I got the electric bill and it only showed 1 £20 top up. I rang up they refunded straight away.
I then got the gas bill. I had topped up £40 in total they were telling me that I had used gas.
I left British Gas on 4/9/23!!!!
My gas meter was upcapped by my housing association engineer on the 6/09/23, who took photos for insurance purposes.
So there could have been no usage.
They refunded £20 straight away and argued about the rest of it. Every time I call in they try and tell me that they know I have not used gas but the standing charge for 13 days is £20!!!!
PLEASE LOOK ELSEWHERE THESE GUYS ARE OUT TO ROB YOU!
They hold on to your money when they owe it to you, gaining interest on it.
But if you owe them money they charge you interest.
They take advantage of simple people like myself confusing them on the telephone to suit their agenda.
Just remember British Gas puts the SHARE HOLDERS 1ST, MANAGERS 2ND, FRIENDS AND FAMILY IN MADE UP JOBS 3RD, THIRD PARTIES THAT SUPPLY PARTS, MATERIALS, SERVICES AND OTHER STUFF 4TH, customers 5th and their staff 6th.
20 years ago you could trust British Gas but now I wouldn't even recommend them to my worst enemy!
Still waiting for my refund.... 9/11/23.
”"
British Gas,Verified Reviewer,Posted 3 weeks ago,1,"“
AVOID. Would give zero stars if possible. Customer service is dreadful, you go around in circles in chat - the advisors don't understand what you are saying, they are obviously running off a script that doesn't work. The promise you they can do things, but do not deliver. Have spoken to 4 agents in 2 weeks and they have not sorted anything. Can't get through to anyone on the phone.
”"
British Gas,Verified Reviewer,Posted 3 weeks ago,1,"“
Avoid unless you want your boiler broken after a service and 4 subsequent visits to leave you with no hot water or central heating in winter. This  happened to us with british gas in 
2016 2018 and 20w3. If you're brave enough to complain before the frost bite sets in then be prepared to wait their suggested 8 weeks whilst they read your catalogue of complaints. Incompetent scam artists who once they have broken your boiler will be good enough to quote for a  new one which will be at least £600  more than any other company. Avoid at all costs.
”"
British Gas,Verified Reviewer,Posted 3 weeks ago,1,"“
How anyone could work there is beyond me. What an awful way to conduct business. The online tools to chat to someone are ridiculous you just go round on circles. I am trying to help elderly who don’t have an online account and it’s soul destroying the way they don’t caret for this. They should be ashame!
”"
British Gas,Verified Reviewer,Posted 3 weeks ago,1,"“
Three years on since we moved into a new house; I have one case with the Ombudsman and another about to be lodged; British Gas seem to just ignore any escalation request by the Ombudsman; it leaves any consumer helpless.

Avoid, avoid, avoid; I don't think they have a single employee that knows what they are doing (or perhaps they are still sitting at home watching Netflix three years after the pandemic????)
”"
British Gas,,Posted 3 weeks ago,1,"“
Never turned up for apointment, i complained as they stated if i didnt keep apointment they would charge 30 pound cant wait to leave this company
”"
British Gas,,Posted 4 weeks ago,5,"“
We had problems with our programmer, so I phoned British Gas. They sent Justin, who I thought was superb. Justin, not only fixed the programmer, he also programmed our Heating and Hot water to come on, at fixed times that I mentioned. Not only that, he cleverly explained the functions of each button on the programmer. He also asked if we had a carbon monoxide detector, and when we said 'no', he gave us one for which we'll pay when we get the invoice. British Gas, you're lucky to have someone like Justin working for you. Thanks a million, Justin. Ram Srinivasan
”"
British Gas,Verified Reviewer,Posted 4 weeks ago,1,"“
British Gas caused a gas leak by attempting to remove the incorrect meter at my property, when we realised what he was doing he bodged the gas pipe back on, we smelt gas days later and cadent come out, they had reused an old corroded washer! 
They continue to get our bills incorrect charging for a meter not in use 
4 times they have missed appointments and not turned up no phone call or reasoning given. Once I have the outcome from the financial ombudsman we are leaving them
”"
British Gas,Verified Reviewer,Posted 1 month ago,1,"“
The have lost over £1,500 of the money which was  in my account. Said they had sent cheque given 3 different dates.  Had phone disconnected by agent when I called to try to recover this money as I cannot now pay future bills.  My father who lives with me has brain damage part of this money is his and from a charity. Very worried now about paying my bill as BG have my money.
”"
British Gas,Verified Reviewer,Posted 1 month ago,1,"“
Horrendous customer service spoke to 8 different people over 5 days 2 hung up on me
2 of staff were helpful.waited in for agreed appointment to be told a no show after I chased after 8 hours (engineer delay).very poor customer service and response.
”"
British Gas,,Posted 1 month ago,1,"“
disgusting company
”"
British Gas,Verified Reviewer,Posted 1 month ago,1,"“
LIARS!! This company is beyond AWFUL. British Gas has to reimburse me for over £1000 and every time I call and hold for more than 45 mins, they tell me they sent me the cheque. The cheque has not arrived even after 2 months!!! I am so sick of this company! When it comes for them to collect the money, they take it with both hands! When it comes for them to reimburse money, they stall and look the other way! DON'T, JUST DON'T ever become a client to British Gas!! There a lots of other companies out there to chose and save you a lot of headache.
”"
British Gas,,Posted 1 month ago,1,"“
British Gas is all over the place from migration to new system poor workers don’t have a clue what’s going up . But people like mangers just sit back and relax way to many problems needs to be sorted!!!!!
”"
British Gas,Verified Reviewer,Posted 1 month ago,1,"“
Cannot track useage
”"
British Gas,Verified Reviewer,Posted 1 month ago,1,"“
Totally unacceptable service since upgrade 
Can not see bill or any details on what tarriffs are available to switch.  In educated service team which on line uses the same cut and past response and not addressing my questions.  The after 40 minutes on line 3
Times asked to call a human being which is near on impossible as it keeps you waiting.  
Get a grip with technology and what the customer wants and please do quality control on your testing and releases as it’s obvious it’s below par
”"
British Gas,,Posted 1 month ago,1,"“
Absolute joke of a company ripping people off wouldn’t recommend if the last company on earth
”"
British Gas,Verified Reviewer,Posted 1 month ago,1,"“
31 minute wait to speak to customer service on a Thursday mid day
”"
British Gas,,Posted 1 month ago,1,"“
If there's a worse company out there, I'd be amazed.
”"
British Gas,,Posted 1 month ago,1,"“
This has to be the worst customer service I've ever had.
”"
British Gas,Verified Reviewer,Posted 1 month ago,1,"“
Worth service ever.. rude and unhelpful customer service. extremely unreliable and unhelpful. they don't send and confirmation emails or text for your booking. they don't report back of the work that has been carried out or update your account online. they make changes to your account without letting you know.
the Enginner they sent to your property are very unhelpful and they come up with every single excuse not to carry out the work. do not waste your time and money with these people. stay away from this company and don't through your money away with them.
”"
British Gas,,Posted 1 month ago,1,"“
Unbelievably incompetent administration where the simplest request is mishandled in a quite fantastic way.
”"
British Gas,,Posted 1 month ago,1,"“
Been given several over estimated bills since April after I have given meter readings. Spoke to two different people at call centre both times put on hold and failed to come back to me.
Absolutely awful customer support.
”"
British Gas,Verified Reviewer,Posted 1 month ago,1,"“
Terrible customer service from the British gas call centre in South Africa. I was double charged for my electricity bill and tried to resolve it with the call centre. I spoke to 6 different lady call handlers all were all very poor and rude and could not resolve a straight forward issue. Due to the terrible customer service I have now left BG!
”"
British Gas,,Posted 1 month ago,1,"“
Inflated energy bill with rude customer advisor and fake chat .Cut off by advisor and fake chat representative after waiting in que on 521 position.SHAME
”"
British Gas,Verified Reviewer,Posted 1 month ago,1,"“
Absolutely appalling !!! Taken me 3 months to sort out a final bill, due to them moving me from an 'old' system to a 'new' system without my consent. Even received debt collector letters for over £800 when my final bill was £90 !!! I'll Never ever use this company whilst Im breathing !!. APPALLING.
”"
British Gas,,Posted 1 month ago,1,"“
Hopeless website.  Tells me everything except what I need to know.  Just want to make a payment but nowhere to be seen. Urgh.  Been looking for last half hour.  Why do you change app set up when we ve just got used to old version.
”"
British Gas,Verified Reviewer,Posted 1 month ago,1,"“
All south African advisers are horrible arrogant  pigs,I've made 8 calls and there wasn't one nice one,horrible people
”"
British Gas,,Posted 1 month ago,1,"“
Booked engineer for repair as I am 78 and unwell. Booking was for 10am to 2pm on 20th. 2 hours late then a phonecall to say he would not be coming until 10am tomorrow. No heating.
”"
British Gas,Verified Reviewer,Posted 1 month ago,1,"“
My gas account has been inaccessible for 2 months now, I was told it could take up to 6 weeks to update 8 weeks ago. I can no longer give a gas meter reading on the phone. Atrocious service.
”"
